Time_seconds,EI_raw,EI_median,Blink,Delta_filt_avg_smoothed,Theta_filt_avg_smoothed,Alpha_filt_avg_smoothed,Beta_filt_avg_smoothed,Gamma_filt_avg_smoothed,Heart_Rate
403.6,1.8808660857531916,1.8808660857531916,0,3.9187468102363545,5.260928572173578,7.516238485854901,24.032140191448647,18.32587810611858,73.35828286049012
404.6,1.8782683861965912,1.8782683861965912,0,3.934404061459113,5.260928572173578,7.529225740759603,24.021043427749127,18.367375309078692,80.12474592343979
405.6,1.875621641196798,1.875621641196798,0,3.951042474864995,5.260928572173578,7.542552480482714,24.01034260917993,18.40998172848159,62.89270914427303
405.791,1.8729248821927278,1.8729248821927278,0,3.968642784998051,5.260928572173578,7.556217788190871,24.000024619154313,18.453610852641894,73.18779125059133
406.6,1.8701775208665907,1.8701775208665907,0,3.987182301902158,5.260928572173578,7.570217923563907,23.990076606909412,18.498169593580982,83.48287335690964
407.274,1.8673793380638042,1.8673793380638042,1,4.006634949548412,5.260928572173578,7.584546321169517,23.98048596644525,18.543558569969388,72.7230899143984
407.6,1.8645304700666396,1.8645304700666396,0,4.026971324207632,5.260928572173578,7.599193609562555,23.971240310755316,18.58967243441214,61.96330647188718
408.6,1.8616313925776982,1.8616313925776982,0,4.048158772231933,5.260928572173578,7.614147650011349,23.96232743991643,18.636400245292165,77.65558162553538
409.6,1.8586829029461869,1.8586829029461869,0,4.070161486414614,5.260928572173578,7.629393593470135,23.95373530333294,18.68362588230996,75.59082439096328
410.6,1.8556861012925823,1.8556861012925823,0,4.092940619856854,5.260928572173578,7.644913954191377,23.94545195830606,18.731228503487337,64.0404094114856
411.6,1.852642371204028,1.852642371204028,0,4.116454416161008,5.260928572173578,7.660688698218168,23.93746552857646,18.779083039825835,76.86402367809714
412.6,1.8495533606001022,1.8495533606001022,0,4.140658354808986,5.261435923465932,7.676695344919393,23.929764167327342,18.82706072212422,68.70748259739194
413.6,1.8464209632513768,1.8464209632513768,0,4.165505310729204,5.263148344514022,7.692909079748453,23.92233602924687,18.87502963285342,64.07543498111227
413.857,1.8432473012999522,1.8432473012999522,1,4.190945727251845,5.265173873715328,7.70930287653578,23.91516925567933,18.922855274691273,67.09504868157163
414.6,1.8400347089876985,1.8400347089876985,0,4.216927801840224,5.26752247490817,7.725847627857453,23.908251975811808,18.9704011463798,70.114662382031
415.6,1.8367857176345237,1.8367857176345237,0,4.2433976840833,5.270204495581974,7.74251228235525,23.901572325338233,19.01752931592128,64.34964049757961
416.6,1.8335030417227054,1.8335030417227054,0,4.270299685365313,5.273230607233995,7.7592639882849905,23.895118482118782,19.06410098100893,64.96341225537886
417.6,1.8301895657657943,1.8301895657657943,0,4.297576499387364,5.276611743399123,7.776068242904974,23.888878716213767,19.109977007540188,68.42795565276978
418.6,1.8268483315274686,1.8268483315274686,0,4.3251694323739525,5.280359036541173,7.792889047436791,23.882841449859818,19.155018439287048,57.859091949433726
419.6,1.8234825251462434,1.8234825251462434,0,4.353018641447063,5.284483754747518,7.8096890672287955,23.87699532211868,19.199086974747342,69.14975572948288
420.6,1.8200954638131266,1.8200954638131266,0,4.381063379355751,5.288997239007088,7.826429796515784,23.87132925332722,19.242045410091258,70.86506879161593
420.721,1.81669058179637,1.81669058179637,1,4.4092422435352745,5.293910841786881,7.843071726845652,23.86583250565781,19.28375804955596,70.13826853319632
421.6,1.8132714157577188,1.8132714157577188,0,4.43749342734613,5.299235867595225,7.859574517839285,23.860494737284206,19.324091086510222,69.41146827477672
422.6,1.8098415894388002,1.8098415894388002,0,4.465754971332466,5.304983516134836,7.875897168522438,23.855306048523303,19.362912959607876,77.09737312718661
423.6,1.8064047979135145,1.8064047979135145,0,4.49396501246446,5.311164828439339,7.8919981871937015,23.850257019073794,19.400094688969414,75.51598538626486
424.6,1.8029647916725413,1.8029647916725413,0,4.52206202958019,5.317790636076813,7.907835757887285,23.845338736132344,19.435510197296388,63.25888978350903
425.6,1.7995253607902617,1.7995253607902617,0,4.549985083570879,5.324871513202513,7.923367901992947,23.840542813465376,19.469036620364076,59.394200681985104
426.6,1.7960903193384135,1.7960903193384135,0,4.577674051193969,5.332417731051162,7.93855263427094,23.835861401381997,19.50055461059619,59.55835605897388
427.6,1.7926634901201643,1.7926634901201643,0,4.605069851684239,5.340439214367838,7.953348113066609,23.831287187313848,19.529948636564484,63.856297040706714
428.6,1.7892486897565203,1.7892486897565203,0,4.6321146655114465,5.348945499198038,7.967712784890891,23.826813386741428,19.557107280425498,58.39802878187841
428.67,1.7858497141736909,1.7858497141736909,1,4.658752144683417,5.357945691357952,7.981605523719146,23.822433724650747,19.58192353461218,66.09506339502872
429.6,1.7824703245816564,1.7824703245816564,0,4.684927613935076,5.367448424839665,7.994985765444171,23.818142408356252,19.604295098579566,73.79209800817904
430.6,1.7791142340410322,1.7791142340410322,0,4.710588262042651,5.377461819423942,8.007813638035952,23.813934092926985,19.624124676074963,67.18970135212204
431.6,1.7757850946512836,1.7757850946512836,0,4.735683322460057,5.387993436864441,8.020050088191276,23.8098038402296,19.641320273323768,59.25129398214782
432.6,1.7724864852940163,1.7724864852940163,0,4.760164242543231,5.399050235122198,8.03165700547634,23.8057470719014,19.641320273323768,72.90029298473468
433.6,1.7692218998199354,1.7692218998199354,0,4.783984840733108,5.410638520204753,8.042597344967685,23.801759516106074,19.641320273323768,64.11121225979531
434.6,1.7659947356381278,1.7659947356381278,0,4.807101451080165,5.422763895156043,8.052835249130153,23.79783714837908,19.641320273323768,75.81698106285495
435.6,1.762808282819437,1.762808282819437,0,4.82947305437065,5.43543120568992,8.062336169266349,23.793976128142877,19.641320273323768,70.22045856445874
436.6,1.7596657139650003,1.7596657139650003,0,4.851061394927674,5.448644481994094,8.071066986482931,23.790172733778427,19.641320273323768,72.23142876951448
437.382,1.7565700751390798,1.7565700751390798,1,4.871831082035148,5.462406876479237,8.078996131817838,23.786423299772956,19.641320273323768,66.21552013236098
437.6,1.753524278107205,1.753524278107205,0,4.891749675008955,5.476720597702452,8.086093704961172,23.782724159180308,19.641320273323768,60.19961149520746
438.6,1.750531093989452,1.750531093989452,0,4.910787751287049,5.491586841197005,8.092331590839123,23.779071593495686,19.641320273323768,55.365682136453415
